date,index
8/1/2011,52.8
9/1/2011,52.7
10/1/2011,51.4
11/1/2011,51.7
12/1/2011,52.8
1/1/2012,52.9
2/1/2012,53.1
3/1/2012,53.3
4/1/2012,54.2
5/1/2012,53.4
6/1/2012,51.3
7/1/2012,50.1
8/1/2012,50.7
9/1/2012,51.9
10/1/2012,50.7
11/1/2012,48.9
12/1/2012,50
1/1/2013,52.6
2/1/2013,54.1
3/1/2013,52
4/1/2013,50.3
5/1/2013,50.1
6/1/2013,52.8
7/1/2013,54.4
8/1/2013,55.6
9/1/2013,55.6
10/1/2013,55.8
11/1/2013,56
12/1/2013,56.1
1/1/2014,51.8
2/1/2014,54.3
3/1/2014,54.4
4/1/2014,55.3
5/1/2014,55.6
6/1/2014,55.7
7/1/2014,56.4
8/1/2014,58.1
9/1/2014,56.1
10/1/2014,57.9
11/1/2014,57.6
12/1/2014,55.1
1/1/2015,53.5
2/1/2015,52.9
3/1/2015,51.5
4/1/2015,51.5
5/1/2015,52.8
6/1/2015,53.5
7/1/2015,52.7
8/1/2015,51.1
9/1/2015,50.2
10/1/2015,50.1
11/1/2015,48.6
12/1/2015,48.2
