date,indpro
7/1/1989,59.7312
8/1/1989,62.2195
9/1/1989,62.3586
10/1/1989,61.9691
11/1/1989,61.2548
12/1/1989,61.2837
1/1/1990,61.3199
2/1/1990,62.1133
3/1/1990,62.5042
4/1/1990,61.2142
5/1/1990,61.8351
6/1/1990,63.7061
7/1/1990,61.4628
8/1/1990,63.5182
9/1/1990,63.9981
10/1/1990,63.0962
11/1/1990,61.4011
12/1/1990,60.5378
1/1/1991,60.8428
2/1/1991,60.5652
3/1/1991,59.9236
4/1/1991,59.9244
5/1/1991,60.2874
6/1/1991,62.5559
7/1/1991,60.38
8/1/1991,62.5625
9/1/1991,63.1868
10/1/1991,62.693
11/1/1991,61.5828
12/1/1991,60.8035
1/1/1992,61.0124
2/1/1992,61.8359
3/1/1992,62.4845
4/1/1992,61.8206
5/1/1992,62.2871
6/1/1992,63.9586
7/1/1992,62.1295
8/1/1992,64.0866
9/1/1992,64.2441
10/1/1992,64.5635
11/1/1992,63.9824
12/1/1992,63.6082
1/1/1993,63.9897
2/1/1993,64.7871
3/1/1993,64.8821
4/1/1993,63.9159
5/1/1993,63.8812
6/1/1993,65.7487
7/1/1993,63.6831
8/1/1993,65.9121
9/1/1993,66.2085
10/1/1993,66.3228
11/1/1993,65.7976
12/1/1993,65.6041
1/1/1994,66.2001
2/1/1994,66.6871
3/1/1994,67.5084
4/1/1994,66.771
5/1/1994,67.1751
6/1/1994,69.5582
7/1/1994,66.9215
8/1/1994,69.9427
9/1/1994,70.452
10/1/1994,70.4762
11/1/1994,70.0804
12/1/1994,70.2697
1/1/1995,70.463
2/1/1995,71.1393
3/1/1995,71.6639
4/1/1995,69.7632
5/1/1995,70.3505
6/1/1995,72.8567
7/1/1995,69.8042
8/1/1995,73.3781
9/1/1995,73.9994
10/1/1995,73.0069
11/1/1995,72.4019
12/1/1995,72.2467
1/1/1996,71.7673
2/1/1996,73.4392
3/1/1996,73.822
4/1/1996,72.8465
5/1/1996,73.4117
6/1/1996,76.4581
7/1/1996,73.2658
8/1/1996,76.7544
9/1/1996,77.7646
10/1/1996,76.785
11/1/1996,76.6091
12/1/1996,76.4444
1/1/1997,76.6015
2/1/1997,78.1261
3/1/1997,79.0104
4/1/1997,78.2215
5/1/1997,78.3351
6/1/1997,80.7446
7/1/1997,77.634
8/1/1997,81.9864
9/1/1997,83.3774
10/1/1997,83.281
11/1/1997,83.5249
12/1/1997,83.4083
1/1/1998,83.1099
2/1/1998,84.126
3/1/1998,84.9086
4/1/1998,82.9006
5/1/1998,84.1346
6/1/1998,85.5454
7/1/1998,82.4197
8/1/1998,86.9316
9/1/1998,86.6315
10/1/1998,87.1912
11/1/1998,86.2326
12/1/1998,86.0822
1/1/1999,86.2391
2/1/1999,87.0823
3/1/1999,88.4203
4/1/1999,86.612
5/1/1999,87.4605
6/1/1999,89.7308
7/1/1999,86.2795
8/1/1999,90.3895
9/1/1999,90.0276
10/1/1999,90.911
11/1/1999,90.3087
12/1/1999,90.5177
1/1/2000,90.4343
2/1/2000,91.1681
3/1/2000,92.8317
4/1/2000,91.3631
5/1/2000,91.5984
6/1/2000,94.526
7/1/2000,90.1662
8/1/2000,93.5081
9/1/2000,94.0017
10/1/2000,93.1037
11/1/2000,92.1066
12/1/2000,91.8242
1/1/2001,90.9019
2/1/2001,90.7739
3/1/2001,91.58
4/1/2001,88.3075
5/1/2001,88.8559
6/1/2001,90.8733
7/1/2001,86.725
8/1/2001,90.051
9/1/2001,89.3306
10/1/2001,88.2016
11/1/2001,86.7113
12/1/2001,86.4038
1/1/2002,86.9964
2/1/2002,87.3933
3/1/2002,88.8102
4/1/2002,87.9578
5/1/2002,88.4745
6/1/2002,92.047
7/1/2002,87.6205
8/1/2002,91.6097
9/1/2002,91.4533
10/1/2002,90.3531
11/1/2002,89.4353
12/1/2002,88.8499
1/1/2003,89.565
2/1/2003,90.6146
3/1/2003,91.3786
4/1/2003,88.5321
5/1/2003,89.0303
6/1/2003,91.5743
7/1/2003,87.6588
8/1/2003,91.7469
9/1/2003,91.8778
10/1/2003,91.0701
11/1/2003,90.7092
12/1/2003,90.4283
1/1/2004,90.5001
2/1/2004,91.9849
3/1/2004,92.2034
4/1/2004,90.3625
5/1/2004,91.6713
6/1/2004,93.6783
7/1/2004,90.8144
8/1/2004,94.1701
9/1/2004,93.6325
10/1/2004,93.8781
11/1/2004,93.0539
12/1/2004,93.6796
1/1/2005,94.0738
2/1/2005,94.953
3/1/2005,95.4688
4/1/2005,94.4815
5/1/2005,94.6611
6/1/2005,97.7953
7/1/2005,94.3349
8/1/2005,97.6346
9/1/2005,95.229
10/1/2005,95.3907
11/1/2005,95.3377
12/1/2005,96.2458
1/1/2006,95.6991
2/1/2006,96.3188
3/1/2006,97.6806
4/1/2006,95.4487
5/1/2006,96.7459
6/1/2006,99.8462
7/1/2006,96.9079
8/1/2006,100.0184
9/1/2006,99.0556
10/1/2006,97.9132
11/1/2006,96.9242
12/1/2006,98.1843
1/1/2007,97.3778
2/1/2007,98.7666
3/1/2007,99.6671
4/1/2007,98.5112
5/1/2007,99.3686
6/1/2007,102.1472
7/1/2007,99.1578
8/1/2007,102.3022
9/1/2007,101.9558
10/1/2007,100.2901
11/1/2007,100.007
12/1/2007,100.4486
1/1/2008,99.9746
2/1/2008,99.6828
3/1/2008,99.9565
4/1/2008,98.1602
5/1/2008,97.7643
6/1/2008,100.2589
7/1/2008,97.6735
8/1/2008,98.2794
9/1/2008,93.5198
10/1/2008,93.0393
11/1/2008,91.343
12/1/2008,89.8264
1/1/2009,87.6293
2/1/2009,86.6023
3/1/2009,85.6384
4/1/2009,83.025
5/1/2009,83.1074
6/1/2009,85.2213
7/1/2009,84.6378
8/1/2009,87.2909
9/1/2009,86.5721
10/1/2009,86.0419
11/1/2009,85.8254
12/1/2009,87.0636
1/1/2010,88.0013
2/1/2010,87.8704
3/1/2010,89.0444
4/1/2010,87.8375
5/1/2010,89.6415
6/1/2010,92.5182
7/1/2010,91.0963
8/1/2010,93.6004
9/1/2010,92.6345
10/1/2010,91.4311
11/1/2010,90.7547
12/1/2010,92.6679
1/1/2011,92.5945
2/1/2011,91.514
3/1/2011,93.1673
4/1/2011,91.0351
5/1/2011,91.8098
6/1/2011,94.6996
7/1/2011,93.6597
8/1/2011,96.0454
9/1/2011,95.2126
10/1/2011,94.5591
11/1/2011,94.0026
12/1/2011,95.3468
1/1/2012,95.5931
2/1/2012,95.8617
3/1/2012,96.076
4/1/2012,95.27
5/1/2012,96.2338
6/1/2012,99.0424
7/1/2012,97.4554
8/1/2012,98.994
9/1/2012,98.2449
10/1/2012,96.8895
11/1/2012,97.1256
12/1/2012,97.7204
1/1/2013,97.8039
2/1/2013,97.9321
3/1/2013,98.7412
4/1/2013,97.7315
5/1/2013,98.0166
6/1/2013,100.9492
7/1/2013,98.9065
8/1/2013,101.659
9/1/2013,101.3336
10/1/2013,100.4917
11/1/2013,100.0904
12/1/2013,101.0132
1/1/2014,100.9218
